,Код заявки,life_satage_number,data_create_begin,data_state_last,actions_count,last_action_manager,difference_day
0,6673,010,09.01.2017 15:19:31,09.01.2017 12:19:31,1,2017-01-09 12:19:31,0
1,6673,020,09.01.2017 15:19:31,10.01.2017 08:49:54,1,2017-01-10 08:49:54,1
2,6673,040,09.01.2017 15:19:31,12.01.2017 14:52:22,2,2017-01-12 14:52:22,3
3,6673,050,09.01.2017 15:19:31,20.03.2017 11:30:30,18,2017-03-20 11:30:30,70
4,6673,060,09.01.2017 15:19:31,24.05.2017 06:51:47,1,2017-05-24 06:51:47,135
5,6674,010,10.01.2017 10:02:42,10.01.2017 07:02:42,1,2017-01-10 07:02:42,0
6,6674,020,10.01.2017 10:02:42,10.01.2017 07:03:46,1,2017-01-10 07:03:46,0
7,6674,040,10.01.2017 10:02:42,02.05.2017 14:47:35,17,2017-05-02 14:47:35,112
8,6674,050,10.01.2017 10:02:42,22.02.2017 06:58:47,5,2017-02-22 06:58:47,43
9,6674,080,10.01.2017 10:02:42,04.05.2017 14:43:56,1,2017-05-04 14:43:56,114
10,6675,010,11.01.2017 10:32:46,11.01.2017 07:32:46,1,2017-01-11 07:32:46,0
11,6675,040,11.01.2017 10:32:46,23.01.2017 10:14:31,4,2017-01-23 10:14:31,12
12,6675,050,11.01.2017 10:32:46,14.02.2017 08:13:15,11,2017-02-14 08:13:15,34
13,6675,060,11.01.2017 10:32:46,03.03.2017 12:06:05,1,2017-03-03 12:06:05,51
14,6676,010,11.01.2017 11:27:05,11.01.2017 08:27:05,1,2017-01-11 08:27:05,0
15,6676,020,11.01.2017 11:27:05,09.02.2017 14:16:20,2,2017-02-09 14:16:20,29
16,6676,040,11.01.2017 11:27:05,19.01.2017 09:23:09,5,2017-01-19 09:23:09,8
17,6676,060,11.01.2017 11:27:05,15.02.2017 09:32:58,1,2017-02-15 09:32:58,35
18,6677,010,12.01.2017 15:26:05,12.01.2017 12:26:05,1,2017-01-12 12:26:05,0
19,6677,040,12.01.2017 15:26:05,19.01.2017 07:33:11,2,2017-01-19 07:33:11,7
20,6677,050,12.01.2017 15:26:05,20.04.2017 06:43:14,27,2017-04-20 06:43:14,98
21,6677,060,12.01.2017 15:26:05,01.08.2017 13:19:05,1,2017-08-01 13:19:05,201
22,6678,010,13.01.2017 12:22:21,13.01.2017 09:22:21,2,2017-01-13 09:22:21,0
23,6678,060,13.01.2017 12:22:21,23.01.2017 08:09:48,1,2017-01-23 08:09:48,10
24,6679,010,16.01.2017 09:23:06,16.01.2017 06:23:06,1,2017-01-16 06:23:06,0
25,6679,060,16.01.2017 09:23:06,16.01.2017 06:30:58,1,2017-01-16 06:30:58,0
26,6680,010,16.01.2017 10:01:38,16.01.2017 07:01:38,1,2017-01-16 07:01:38,0
27,6680,020,16.01.2017 10:01:38,27.01.2017 10:38:35,1,2017-01-27 10:38:35,11
28,6680,040,16.01.2017 10:01:38,31.01.2017 08:24:04,3,2017-01-31 08:24:04,15
29,6680,050,16.01.2017 10:01:38,09.02.2017 10:27:56,4,2017-02-09 10:27:56,24
30,6680,060,16.01.2017 10:01:38,13.02.2017 08:40:53,1,2017-02-13 08:40:53,28
31,6681,010,16.01.2017 12:56:35,16.01.2017 09:56:35,1,2017-01-16 09:56:35,0
32,6681,060,16.01.2017 12:56:35,16.01.2017 10:00:55,1,2017-01-16 10:00:55,0
33,6682,010,17.01.2017 10:00:01,17.01.2017 07:00:01,1,2017-01-17 07:00:01,0
34,6682,020,17.01.2017 10:00:01,21.08.2017 14:24:00,2,2017-08-21 14:24:00,216
35,6682,040,17.01.2017 10:00:01,18.01.2017 12:17:31,2,2017-01-18 12:17:31,1
36,6682,050,17.01.2017 10:00:01,30.11.2017 09:01:20,46,2017-11-30 09:01:20,317
37,6682,060,17.01.2017 10:00:01,26.01.2018 06:54:30,1,2018-01-26 06:54:30,9
38,6683,010,17.01.2017 10:05:02,17.01.2017 07:05:02,1,2017-01-17 07:05:02,0
39,6683,020,17.01.2017 10:05:02,30.03.2017 10:08:05,3,2017-03-30 10:08:05,72
40,6683,040,17.01.2017 10:05:02,26.01.2017 07:57:54,5,2017-01-26 07:57:54,9
41,6683,050,17.01.2017 10:05:02,06.04.2017 10:11:03,8,2017-04-06 10:11:03,79
42,6683,060,17.01.2017 10:05:02,06.04.2017 12:09:32,1,2017-04-06 12:09:32,79
43,6684,010,17.01.2017 11:37:14,17.01.2017 08:37:14,1,2017-01-17 08:37:14,0
44,6684,040,17.01.2017 11:37:14,17.01.2017 08:37:32,8,2017-01-17 08:37:32,0
45,6684,060,17.01.2017 11:37:14,13.03.2017 13:31:45,1,2017-03-13 13:31:45,55
46,6685,010,17.01.2017 14:26:31,17.01.2017 11:26:31,1,2017-01-17 11:26:31,0
47,6685,060,17.01.2017 14:26:31,19.01.2017 20:20:07,1,2017-01-19 20:20:07,2
48,6686,010,17.01.2017 14:34:41,17.01.2017 11:34:41,1,2017-01-17 11:34:41,0
49,6686,060,17.01.2017 14:34:41,19.01.2017 20:20:07,1,2017-01-19 20:20:07,2
50,6687,010,18.01.2017 14:42:34,18.01.2017 11:42:34,1,2017-01-18 11:42:34,0
51,6687,060,18.01.2017 14:42:34,20.01.2017 20:20:09,1,2017-01-20 20:20:09,2
52,6688,010,18.01.2017 17:25:52,27.01.2017 11:01:52,4,2017-01-27 11:01:52,9
53,6688,040,18.01.2017 17:25:52,26.06.2017 08:49:40,19,2017-06-26 08:49:40,159
54,6688,050,18.01.2017 17:25:52,23.03.2017 07:07:41,11,2017-03-23 07:07:41,64
55,6688,080,18.01.2017 17:25:52,27.06.2017 06:45:54,1,2017-06-27 06:45:54,160
56,6689,010,19.01.2017 12:24:14,19.01.2017 09:24:14,1,2017-01-19 09:24:14,0
57,6689,040,19.01.2017 12:24:14,15.02.2017 10:20:04,7,2017-02-15 10:20:04,27
58,6689,050,19.01.2017 12:24:14,13.03.2017 13:16:39,11,2017-03-13 13:16:39,53
59,6689,060,19.01.2017 12:24:14,03.05.2017 14:45:18,1,2017-05-03 14:45:18,104
60,6690,010,19.01.2017 14:08:11,19.01.2017 11:08:11,1,2017-01-19 11:08:11,0
61,6690,040,19.01.2017 14:08:11,25.01.2017 13:27:50,2,2017-01-25 13:27:50,6
62,6690,050,19.01.2017 14:08:11,01.06.2017 09:07:25,21,2017-06-01 09:07:25,133
63,6690,060,19.01.2017 14:08:11,26.06.2017 14:00:12,1,2017-06-26 14:00:12,158
64,6691,010,20.01.2017 09:47:30,20.01.2017 06:47:30,1,2017-01-20 06:47:30,0
65,6691,060,20.01.2017 09:47:30,20.01.2017 09:30:55,1,2017-01-20 09:30:55,0
66,6692,010,20.01.2017 10:50:42,20.01.2017 07:50:42,1,2017-01-20 07:50:42,0
67,6692,020,20.01.2017 10:50:42,20.01.2017 09:31:54,2,2017-01-20 09:31:54,0
68,6692,060,20.01.2017 10:50:42,03.02.2017 14:58:16,1,2017-02-03 14:58:16,14
