,Клиент,unique_orders_count,unique_orders_order_list
0, АСТ Бауинжиниринг,1,[8913]
1, Автомобилист,1,[11297]
2, Алматинский Завод Промсвязь,1,[10728]
3, БРОНТО,1,[7234]
4, ВКТ,1,[9851]
5, ВМТП,2,[12114 11491]
6, ВСК,1,[13889]
7, ГОРА ,1,[7979]
8, Гончаров Сергей ,1,[7542]
9, ДГКБ Святого Владимира,1,[9713]
10, Дельта Плюс ,1,[7606]
11, Завод пеллет №3 ,1,[7892]
12, Завод теплогидроизоляции,1,[6708]
13, ИФК МЕТРОПОЛЬ,1,[10080]
14, Иванов ,1,[7900]
15, КАМАЗжилбыт,1,[14340]
16, Кручинин А.Н,1,[8546]
17, НПП Нефтегазинжиниринг,10,[ 9450  8733  7344  8227  6715  6783  7196  7230  7255 11334]
18, НПП САМ,1,[7613]
19, Николай Смирнов,1,[7283]
20, СОЛЯРИС,1,[12613]
21, Сады Придонья,1,[12224]
22, УКС ЖКХ,1,[12497]
23, Управление по выполнению полномочий СП село Тигиль,1,[11972]
24, Филиал СТАЛЬЭНЕРГО-96 ВОСТОК,1,[10307]
25, Хисами Н.Х,1,[7026]
26,"""Регби-клуб ЦСКА""",1,[12435]
27,"""Спиртзавод ""Кемлянский""  ",1,[12436]
28,14474,1,[14967]
29,1Договор,1,[13689]
30,2-ОЙ АРХАНГЕЛЬСКИЙ ОАО,1,[13167]
31,20 Центральный проектный институт,1,[9209]
32,2К,1,[8657]
33,3 ЦВКГ имени А.А. Вишневского Минобороны России,1,[11509]
34,31 ГПИСС,2,[14172 15238]
35,360 КОНСТРАКШН,1,[13856]
36,5 ВКГ войск национальной гвардии,1,[13907]
37,61 БТРЗ,1,[8840]
38,61 бронетанковый ремонтный завод ( 61 БТРЗ ),1,[15218]
39,7С ГРУПП,1,[7245]
40,99 Завод Авиационного Технологического Оборудования,1,[9531]
41,AAEngineering Group,2,[12261 11087]
42,ABC ASTANA,1,[7888]
43,ADM STROY MONTAZH,1,[12319]
44,AKFA ,1,[8175]
45,ALATAU SAFARI ,1,[7363]
46,ALB Company ,1,[8759]
47,AME Group,2,[ 9664 12181]
48,AS Alekon Holding,1,[7065]
49,AST групп,1,[9492]
50,Airus,1,[7357]
51,Alcom Engineering Kazakhstan,1,[10096]
52,Alisab-Trade,1,[7413]
53,Alpha Energy ,1,[7921]
54,Altina Technology Казахстан,1,[14925]
55,Antarium Group,1,[10640]
56,Antteq,4,[9084 8598 6874 7045]
57,Arma,2,[ 8244 10611]
58,Asia Techno Complect,1,[9666]
59,Astana building company 2050,1,[10976]
60,Azat Construction Service KZ,2,[8746 6733]
61,BAUDORF,2,[10294  6894]
62,BAZIS Construction,8,[ 7927  7944  7946  7080  7121 12814 12815 11005]
63,BBC Company,1,[9323]
64,BI Group,17,"[ 9065  8743  8885  7657  7912  7998  8111 13931  6713  6716  6792  6848
  6954  7039 11864 11676 11620]"
65,BINOKOR PRECAST TECHNOLOGIES,1,[12143]
66,BOES Construction,4,[8297 8627 8276 7254]
67,BS Capital Group,7,[ 9188  8783  8723  8788  8926  8724 12843]
68,Bereke Bank,1,[14240]
69,Bouygues Turkmen,1,[7224]
70,CIS Catering (Арктик Катеринг Сервис),1,[7815]
71,CNGS Engineering,1,[8247]
72,CODEST,7,[8464 7603 9555 6925 6926 6940 6994]
73,CPC Group,1,[10056]
74,Caravan resources,2,[10030 11262]
75,Carpark Transformer,1,[11790]
76,CenturionCompany,1,[9163]
77,Cis catering,1,[7044]
78,Cитиматик,1,[11513]
79,Cоюз Инжиниринг,1,[9281]
80,DALI Компрессорное оборудование,1,[6699]
81,DARS Development,1,[9577]
82,DL E&C,1,[11301]
83,DP Element Construction,1,[7223]
84,DSKA Engineering,1,[12259]
85,DaRKam Construction,1,[12234]
86,Dagdan Belent,1,[9791]
87,Danieli,1,[8579]
88,Dmistral,1,[8667]
89,ELITE INSAAT,1,[13941]
90,ENKA,9,[ 8929  7502  9723  9638  9827  9687  7174  7210 11341]
91,EPC Group,1,[13646]
92,EPCglobal,1,[9933]
93,ESTA CONSTRUCTION,5,[ 9195  9891  7018  7287 11577]
94,EXPERT Монтаж,1,[9820]
95,Enter Engineering ,1,[10626]
96,ExpoNordTermina,1,[7662]
97,FOUNTRADE,1,[10925]
98,Farah-Rovshan,1,[7259]
99,GROUP OF COMPANIES CONTACT PLUS,5,[8928 7811 7924 8112 9658]
100,GSM company,1,[7096]
101,GazSnabOil,1,[10998]
102,Gin construction Rus,1,[7191]
103,Grand Line ,4,[8527 9081 7515 8011]
104,Great Silk Road Group,1,[8910]
105,HAZELNURSE,1,[7786]
106,HaskoningDHV Nederland BV,1,[12213]
107,Hyundai Engineering&Construction,1,[6880]
108,IKON Development,2,[ 6790 10855]
109,INGRAD,1,[10575]
110,IOSC Russia,1,[12370]
111,InTop Group,1,[9229]
112,Industrial Supply Service,1,[10771]
113,Inter-Ишим NS,1,[6797]
114,KORIFEY COMPANY,1,[7373]
115,KUAN,1,[8848]
116,KZ Проект Строй Комплекс Атырау,1,[6830]
117,KZ Транс Ойл,1,[7227]
118,KZF Service,1,[9277]
119,KZM GROUP,1,[8632]
120,Kagazy Recycling,1,[10553]
121,Kali,1,[7951]
122,Kauko international,1,[6762]
123,Kaz Minerals Management,7,[ 9204  7778 10254 10435  9901 13741 10853]
124,KazCargo Express,1,[14577]
125,KazInvestStroy,1,[8426]
126,Kazeco,2,[9967 9977]
127,Khareba,1,[9996]
128,"LLC ""Pastorkalt"" ",1,[7212]
129,LUMer,1,[7244]
130,Lafarge Holcim,1,[7464]
131,MAD ARCHITECTS,1,[7136]
132,MERTECO,1,[11851]
133,Maire Tecnimont,1,[6906]
134,Megastroy Resources,1,[9046]
135,Miller Engineering,1,[7251]
136,Modern Construction Group QSC,1,[14068]
137,Mosskva,2,[13883  7090]
138,NavyGroup,1,[11201]
139,Nikolic Container Trans Kft,1,[11743]
140,North Caspian Operating Company (NCOC),1,[7524]
141,Northwest Construction,1,[9089]
142,Norvus,1,[9869]
143,PROJECT ENGINEERING GROUP,1,[15066]
144,PSI Group,1,[7616]
145,Profit Group,1,[8441]
146,RIZZANI DE ECCHER,3,[10520 11656 11034]
147,Rauan Group ,1,[10590]
148,Riparo,1,[10463]
149,Riteil W/SsyqTor ,1,[8000]
150,SADE ,1,[7444]
151,SDA,1,[7626]
152,SGS Group,1,[7975]
153,SICIM S.p.A. ,1,[7415]
154,SINTEC GROUP (СИНТЕК),1,[13323]
155,SMINEX,6,[ 8287 12521 13399 11706 11372 11330]
156,STANDARTSTROY KZ,1,[13993]
157,Saipem,2,[ 7649 10566]
158,Sakhalin Energy Investment Company,3,[ 8236 12554 12742]
159,Sanoat Energetika Guruhi,1,[14278]
160,SemArco (ГК Archirodon),1,[6876]
161,Seven Suns,1,[9805]
162,Sezar group,3,[ 8278  7093 12392]
163,Snab Torg Trans,1,[13769]
164,Sodexo,2,[9232 9795]
